param,value,unit,lower,upper,city,latitude,longitude
"Meal, Inexpensive Restaurant",9.0,€,5,20,Trapani,38.0174321,12.515992
"Meal for 2 People, Mid-range Restaurant, Three-course",55.0,€,35,100,Trapani,38.0174321,12.515992
McMeal at McDonalds (or Equivalent Combo Meal),6.5,€,5.5,7,Trapani,38.0174321,12.515992
Domestic Beer (1 pint draught),3.75,€,2.5,6,Trapani,38.0174321,12.515992
Imported Beer (12 oz small bottle),3.0,€,2.5,5,Trapani,38.0174321,12.515992
Cappuccino (regular),1.58,€,1,2,Trapani,38.0174321,12.515992
Coke/Pepsi (12 oz small bottle),1.75,€,1.5,2,Trapani,38.0174321,12.515992
Water (12 oz small bottle),1.12,€,1,2,Trapani,38.0174321,12.515992
"Milk (regular), (1 gallon)",2.63,€,2.12,4.54,Trapani,38.0174321,12.515992
Loaf of Fresh White Bread (1 lb),0.93,€,0.68,2.72,Trapani,38.0174321,12.515992
"Rice (white), (1 lb)",0.92,€,0.36,1.68,Trapani,38.0174321,12.515992
Eggs (regular) (12),1.92,€,1.8,4,Trapani,38.0174321,12.515992
Local Cheese (1 lb),3.63,€,3.18,6.26,Trapani,38.0174321,12.515992
Chicken Fillets (1 lb),3.29,€,2.27,4.08,Trapani,38.0174321,12.515992
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),4.08,€,2.72,9.07,Trapani,38.0174321,12.515992
Apples (1 lb),0.79,€,0.45,1.36,Trapani,38.0174321,12.515992
Banana (1 lb),0.76,€,0.45,1.36,Trapani,38.0174321,12.515992
Oranges (1 lb),0.68,€,0.45,0.91,Trapani,38.0174321,12.515992
Tomato (1 lb),0.27,€,0.27,2.27,Trapani,38.0174321,12.515992
Potato (1 lb),0.45,€,0.45,0.45,Trapani,38.0174321,12.515992
Onion (1 lb),0.45,€,0.45,0.45,Trapani,38.0174321,12.515992
Lettuce (1 head),1.0,€,1,1,Trapani,38.0174321,12.515992
Water (1.5 liter bottle),0.17,€,0.15,0.5,Trapani,38.0174321,12.515992
Bottle of Wine (Mid-Range),4.75,€,2.5,7,Trapani,38.0174321,12.515992
Domestic Beer (0.5 liter bottle),0.93,€,0.8,1,Trapani,38.0174321,12.515992
Imported Beer (12 oz small bottle),1.43,€,1,2,Trapani,38.0174321,12.515992
Cigarettes 20 Pack (Marlboro),5.45,€,5,6,Trapani,38.0174321,12.515992
One-way Ticket (Local Transport),1.2,€,1.2,1.25,Trapani,38.0174321,12.515992
Monthly Pass (Regular Price),32.0,€,10,35,Trapani,38.0174321,12.515992
Taxi Start (Normal Tariff),4.25,€,3.5,5,Trapani,38.0174321,12.515992
Taxi 1 mile (Normal Tariff),4.83,€,4.83,4.83,Trapani,38.0174321,12.515992
Gasoline (1 gallon),7.15,€,6.44,8.3,Trapani,38.0174321,12.515992
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),20000.0,€,"20,000.00","31,000.00",Trapani,38.0174321,12.515992
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),26500.0,€,"25,000.00","28,000.00",Trapani,38.0174321,12.515992
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",164.85,€,154.55,170,Trapani,38.0174321,12.515992
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Trapani,38.0174321,12.515992
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",25.0,€,20,30,Trapani,38.0174321,12.515992
"Fitness Club, Monthly Fee for 1 Adult",41.67,€,,,Trapani,38.0174321,12.515992
Tennis Court Rent (1 Hour on Weekend),14.33,€,,,Trapani,38.0174321,12.515992
"Cinema, International Release, 1 Seat",7.0,€,6,12,Trapani,38.0174321,12.515992
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",350.0,€,300,400,Trapani,38.0174321,12.515992
1 Pair of Jeans (Levis 501 Or Similar),30.0,€,30,120,Trapani,38.0174321,12.515992
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",43.33,€,30,50,Trapani,38.0174321,12.515992
1 Pair of Nike Running Shoes (Mid-Range),60.0,€,55,150,Trapani,38.0174321,12.515992
1 Pair of Men Leather Business Shoes,85.0,€,85,150,Trapani,38.0174321,12.515992
Apartment (1 bedroom) in City Centre,500.0,€,,,Trapani,38.0174321,12.515992
Apartment (1 bedroom) Outside of Centre,250.0,€,,,Trapani,38.0174321,12.515992
Apartment (3 bedrooms) Outside of Centre,400.0,€,,,Trapani,38.0174321,12.515992
Price per Square Feet to Buy Apartment Outside of Centre,80.45,€,,,Trapani,38.0174321,12.515992
Average Monthly Net Salary (After Tax),1237.5,€,,,Trapani,38.0174321,12.515992
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.07,,1.5,4.9,Trapani,38.0174321,12.515992
"Meal, Inexpensive Restaurant",15.0,€,10,30,Trani,41.275088,16.4162585
"Meal for 2 People, Mid-range Restaurant, Three-course",48.0,€,35.5,90,Trani,41.275088,16.4162585
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,7,9,Trani,41.275088,16.4162585
Domestic Beer (1 pint draught),3.25,€,2.2,5,Trani,41.275088,16.4162585
Imported Beer (12 oz small bottle),3.0,€,2,4.5,Trani,41.275088,16.4162585
Cappuccino (regular),1.4,€,1,1.5,Trani,41.275088,16.4162585
Coke/Pepsi (12 oz small bottle),1.67,€,1,2.5,Trani,41.275088,16.4162585
Water (12 oz small bottle),0.9,€,0.7,1.5,Trani,41.275088,16.4162585
"Milk (regular), (1 gallon)",3.87,€,2.65,5.68,Trani,41.275088,16.4162585
Loaf of Fresh White Bread (1 lb),1.63,€,0.91,3.63,Trani,41.275088,16.4162585
"Rice (white), (1 lb)",0.64,€,0.45,1.36,Trani,41.275088,16.4162585
Eggs (regular) (12),2.9,€,1.8,5,Trani,41.275088,16.4162585
Local Cheese (1 lb),4.2,€,3.18,13.61,Trani,41.275088,16.4162585
Chicken Fillets (1 lb),3.38,€,1.81,4.99,Trani,41.275088,16.4162585
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),3.92,€,3.18,13.61,Trani,41.275088,16.4162585
Apples (1 lb),0.82,€,0.45,1.36,Trani,41.275088,16.4162585
Banana (1 lb),0.61,€,0.45,1.36,Trani,41.275088,16.4162585
Oranges (1 lb),0.76,€,0.45,1.36,Trani,41.275088,16.4162585
Tomato (1 lb),1.02,€,0.45,2.27,Trani,41.275088,16.4162585
Potato (1 lb),0.59,€,0.45,0.91,Trani,41.275088,16.4162585
Onion (1 lb),0.7,€,0.45,0.91,Trani,41.275088,16.4162585
Lettuce (1 head),1.12,€,0.99,3.85,Trani,41.275088,16.4162585
Water (1.5 liter bottle),0.28,€,0.16,0.4,Trani,41.275088,16.4162585
Bottle of Wine (Mid-Range),4.0,€,3,10,Trani,41.275088,16.4162585
Domestic Beer (0.5 liter bottle),1.3,€,1,1.5,Trani,41.275088,16.4162585
Imported Beer (12 oz small bottle),1.7,€,1.5,3,Trani,41.275088,16.4162585
Cigarettes 20 Pack (Marlboro),5.25,€,5,6,Trani,41.275088,16.4162585
One-way Ticket (Local Transport),1.1,€,1,1.1,Trani,41.275088,16.4162585
Monthly Pass (Regular Price),15.0,€,,,Trani,41.275088,16.4162585
Taxi Start (Normal Tariff),5.0,€,5,5,Trani,41.275088,16.4162585
Taxi 1 mile (Normal Tariff),2.25,€,2.25,2.25,Trani,41.275088,16.4162585
Taxi 1hour Waiting (Normal Tariff),20.0,€,20,20,Trani,41.275088,16.4162585
Gasoline (1 gallon),7.34,€,6.44,8.3,Trani,41.275088,16.4162585
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),29900.0,€,"29,900.00","29,900.00",Trani,41.275088,16.4162585
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),25000.0,€,"25,000.00","25,000.00",Trani,41.275088,16.4162585
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",110.65,€,97.14,150,Trani,41.275088,16.4162585
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Trani,41.275088,16.4162585
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",24.9,€,24.9,33,Trani,41.275088,16.4162585
"Fitness Club, Monthly Fee for 1 Adult",41.67,€,40,45,Trani,41.275088,16.4162585
Tennis Court Rent (1 Hour on Weekend),30.0,€,,,Trani,41.275088,16.4162585
"Cinema, International Release, 1 Seat",6.5,€,6,12,Trani,41.275088,16.4162585
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",375.0,€,250,500,Trani,41.275088,16.4162585
"International Primary School, Yearly for 1 Child",4500.0,€,"4,500.00","4,500.00",Trani,41.275088,16.4162585
1 Pair of Jeans (Levis 501 Or Similar),75.0,€,40,110,Trani,41.275088,16.4162585
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.67,€,15,60,Trani,41.275088,16.4162585
1 Pair of Nike Running Shoes (Mid-Range),75.0,€,45,130,Trani,41.275088,16.4162585
1 Pair of Men Leather Business Shoes,85.0,€,60,200,Trani,41.275088,16.4162585
Apartment (1 bedroom) in City Centre,450.0,€,400,500,Trani,41.275088,16.4162585
Apartment (1 bedroom) Outside of Centre,350.0,€,,,Trani,41.275088,16.4162585
Apartment (3 bedrooms) in City Centre,850.0,€,700,"1,000.00",Trani,41.275088,16.4162585
Apartment (3 bedrooms) Outside of Centre,525.0,€,500,550,Trani,41.275088,16.4162585
Price per Square Feet to Buy Apartment in City Centre,139.35,€,139.35,139.35,Trani,41.275088,16.4162585
Price per Square Feet to Buy Apartment Outside of Centre,92.9,€,,,Trani,41.275088,16.4162585
Average Monthly Net Salary (After Tax),1100.0,€,,,Trani,41.275088,16.4162585
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.0,,4,4.9,Trani,41.275088,16.4162585
"Meal, Inexpensive Restaurant",15.0,€,10,20,Torbole,45.512581,10.115467
"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,€,40,100,Torbole,45.512581,10.115467
McMeal at McDonalds (or Equivalent Combo Meal),8.5,€,8,10,Torbole,45.512581,10.115467
Domestic Beer (1 pint draught),5.0,€,4.5,5.5,Torbole,45.512581,10.115467
Imported Beer (12 oz small bottle),4.5,€,3.5,6,Torbole,45.512581,10.115467
Cappuccino (regular),1.54,€,1.3,2,Torbole,45.512581,10.115467
Coke/Pepsi (12 oz small bottle),2.81,€,2.5,3.5,Torbole,45.512581,10.115467
Water (12 oz small bottle),1.33,€,1,2,Torbole,45.512581,10.115467
"Milk (regular), (1 gallon)",5.75,€,4.16,6.81,Torbole,45.512581,10.115467
Loaf of Fresh White Bread (1 lb),1.67,€,0.91,3.63,Torbole,45.512581,10.115467
"Rice (white), (1 lb)",0.88,€,0.68,1.13,Torbole,45.512581,10.115467
Eggs (regular) (12),3.11,€,1.3,4.8,Torbole,45.512581,10.115467
Local Cheese (1 lb),5.97,€,4.54,8.16,Torbole,45.512581,10.115467
Chicken Fillets (1 lb),4.61,€,2.27,5.44,Torbole,45.512581,10.115467
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),7.11,€,5.44,9.07,Torbole,45.512581,10.115467
Apples (1 lb),0.93,€,0.41,1.13,Torbole,45.512581,10.115467
Banana (1 lb),0.71,€,0.45,1.36,Torbole,45.512581,10.115467
Oranges (1 lb),0.82,€,0.45,1.59,Torbole,45.512581,10.115467
Tomato (1 lb),1.47,€,0.45,3.18,Torbole,45.512581,10.115467
Potato (1 lb),0.66,€,0.36,1.13,Torbole,45.512581,10.115467
Onion (1 lb),0.6,€,0.4,0.91,Torbole,45.512581,10.115467
Lettuce (1 head),1.3,€,0.5,2,Torbole,45.512581,10.115467
Water (1.5 liter bottle),0.49,€,0.17,1,Torbole,45.512581,10.115467
Bottle of Wine (Mid-Range),6.0,€,5,10,Torbole,45.512581,10.115467
Domestic Beer (0.5 liter bottle),1.41,€,0.89,2,Torbole,45.512581,10.115467
Imported Beer (12 oz small bottle),2.25,€,1.2,3,Torbole,45.512581,10.115467
Cigarettes 20 Pack (Marlboro),5.6,€,5.5,6,Torbole,45.512581,10.115467
Taxi Start (Normal Tariff),8.0,€,8,12,Torbole,45.512581,10.115467
Taxi 1 mile (Normal Tariff),2.41,€,1.61,3.22,Torbole,45.512581,10.115467
Taxi 1hour Waiting (Normal Tariff),35.0,€,20,50,Torbole,45.512581,10.115467
Gasoline (1 gallon),7.21,€,6.44,8.3,Torbole,45.512581,10.115467
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),23500.0,€,"22,500.00","25,000.00",Torbole,45.512581,10.115467
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),25500.0,€,"23,000.00","26,000.00",Torbole,45.512581,10.115467
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",228.57,€,100,500,Torbole,45.512581,10.115467
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Torbole,45.512581,10.115467
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",26.86,€,25,33,Torbole,45.512581,10.115467
"Cinema, International Release, 1 Seat",10.0,€,10,12,Torbole,45.512581,10.115467
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",475.0,€,350,600,Torbole,45.512581,10.115467
"International Primary School, Yearly for 1 Child",4500.0,€,"4,500.00","4,500.00",Torbole,45.512581,10.115467
1 Pair of Jeans (Levis 501 Or Similar),75.5,€,50,90,Torbole,45.512581,10.115467
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",31.74,€,18,45,Torbole,45.512581,10.115467
1 Pair of Nike Running Shoes (Mid-Range),92.86,€,65,110,Torbole,45.512581,10.115467
1 Pair of Men Leather Business Shoes,135.71,€,70,200,Torbole,45.512581,10.115467
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",3.77,,1.51,4.9,Torbole,45.512581,10.115467
"Meal, Inexpensive Restaurant",15.0,€,7,22,Terracina,41.2871196,13.2492009
"Meal for 2 People, Mid-range Restaurant, Three-course",65.0,€,60,80,Terracina,41.2871196,13.2492009
McMeal at McDonalds (or Equivalent Combo Meal),8.5,€,8,9,Terracina,41.2871196,13.2492009
Domestic Beer (1 pint draught),5.0,€,2,7,Terracina,41.2871196,13.2492009
Imported Beer (12 oz small bottle),5.0,€,5,5,Terracina,41.2871196,13.2492009
Cappuccino (regular),1.27,€,1.1,2,Terracina,41.2871196,13.2492009
Coke/Pepsi (12 oz small bottle),2.0,€,1.5,3,Terracina,41.2871196,13.2492009
Water (12 oz small bottle),1.0,€,1,1.5,Terracina,41.2871196,13.2492009
"Milk (regular), (1 gallon)",5.11,€,3.79,6.06,Terracina,41.2871196,13.2492009
Loaf of Fresh White Bread (1 lb),2.04,€,0.91,3.18,Terracina,41.2871196,13.2492009
"Rice (white), (1 lb)",0.92,€,0.91,0.95,Terracina,41.2871196,13.2492009
Eggs (regular) (12),2.8,€,2,3,Terracina,41.2871196,13.2492009
Local Cheese (1 lb),11.04,€,4.54,13.61,Terracina,41.2871196,13.2492009
Chicken Fillets (1 lb),4.99,€,3.63,7.26,Terracina,41.2871196,13.2492009
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),9.07,€,3.63,11.79,Terracina,41.2871196,13.2492009
Apples (1 lb),1.13,€,0.82,1.36,Terracina,41.2871196,13.2492009
Banana (1 lb),0.91,€,0.68,1.17,Terracina,41.2871196,13.2492009
Oranges (1 lb),1.33,€,0.91,1.59,Terracina,41.2871196,13.2492009
Tomato (1 lb),1.2,€,1.04,1.41,Terracina,41.2871196,13.2492009
Potato (1 lb),0.92,€,0.68,1.13,Terracina,41.2871196,13.2492009
Onion (1 lb),0.89,€,0.82,1,Terracina,41.2871196,13.2492009
Lettuce (1 head),1.35,€,0.7,2,Terracina,41.2871196,13.2492009
Water (1.5 liter bottle),0.35,€,0.2,1,Terracina,41.2871196,13.2492009
Bottle of Wine (Mid-Range),6.0,€,4.99,10,Terracina,41.2871196,13.2492009
Domestic Beer (0.5 liter bottle),1.35,€,1,2,Terracina,41.2871196,13.2492009
Imported Beer (12 oz small bottle),1.7,€,0.9,2,Terracina,41.2871196,13.2492009
Cigarettes 20 Pack (Marlboro),6.0,€,5.9,6,Terracina,41.2871196,13.2492009
One-way Ticket (Local Transport),1.0,€,1,1.2,Terracina,41.2871196,13.2492009
Taxi Start (Normal Tariff),5.75,€,4.5,7,Terracina,41.2871196,13.2492009
Gasoline (1 gallon),6.76,€,6.62,8.3,Terracina,41.2871196,13.2492009
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),18000.0,€,"18,000.00","18,000.00",Terracina,41.2871196,13.2492009
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),14000.0,€,"14,000.00","14,000.00",Terracina,41.2871196,13.2492009
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",187.0,€,187,425,Terracina,41.2871196,13.2492009
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Terracina,41.2871196,13.2492009
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",29.62,€,24.5,45,Terracina,41.2871196,13.2492009
"Fitness Club, Monthly Fee for 1 Adult",60.0,€,,,Terracina,41.2871196,13.2492009
Tennis Court Rent (1 Hour on Weekend),15.0,€,,,Terracina,41.2871196,13.2492009
"Cinema, International Release, 1 Seat",7.0,€,7,8,Terracina,41.2871196,13.2492009
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",690.0,€,600,850,Terracina,41.2871196,13.2492009
"International Primary School, Yearly for 1 Child",15400.0,€,"13,200.00","18,000.00",Terracina,41.2871196,13.2492009
1 Pair of Jeans (Levis 501 Or Similar),90.0,€,80,100,Terracina,41.2871196,13.2492009
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",55.0,€,40,70,Terracina,41.2871196,13.2492009
1 Pair of Nike Running Shoes (Mid-Range),72.5,€,65,120,Terracina,41.2871196,13.2492009
1 Pair of Men Leather Business Shoes,136.67,€,100,200,Terracina,41.2871196,13.2492009
Apartment (3 bedrooms) in City Centre,600.0,€,,,Terracina,41.2871196,13.2492009
Average Monthly Net Salary (After Tax),900.0,€,,,Terracina,41.2871196,13.2492009
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.27,,1.39,4.9,Terracina,41.2871196,13.2492009
"Meal, Inexpensive Restaurant",15.0,€,8,30,Terni,42.6539486,12.439652829139407
"Meal for 2 People, Mid-range Restaurant, Three-course",50.0,€,45,70,Terni,42.6539486,12.439652829139407
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,6,10,Terni,42.6539486,12.439652829139407
Domestic Beer (1 pint draught),4.5,€,2,5.5,Terni,42.6539486,12.439652829139407
Imported Beer (12 oz small bottle),4.25,€,3,5,Terni,42.6539486,12.439652829139407
Cappuccino (regular),1.35,€,1.1,2,Terni,42.6539486,12.439652829139407
Coke/Pepsi (12 oz small bottle),2.12,€,2,3,Terni,42.6539486,12.439652829139407
Water (12 oz small bottle),1.25,€,1,2,Terni,42.6539486,12.439652829139407
"Milk (regular), (1 gallon)",3.91,€,3.41,6.06,Terni,42.6539486,12.439652829139407
Loaf of Fresh White Bread (1 lb),1.66,€,0.91,3.18,Terni,42.6539486,12.439652829139407
"Rice (white), (1 lb)",1.06,€,0.86,1.36,Terni,42.6539486,12.439652829139407
Eggs (regular) (12),3.35,€,1.79,5,Terni,42.6539486,12.439652829139407
Local Cheese (1 lb),6.5,€,3.13,7.71,Terni,42.6539486,12.439652829139407
Chicken Fillets (1 lb),4.99,€,3.63,7.26,Terni,42.6539486,12.439652829139407
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.43,€,3.13,5.44,Terni,42.6539486,12.439652829139407
Apples (1 lb),0.98,€,0.45,1.36,Terni,42.6539486,12.439652829139407
Banana (1 lb),1.21,€,0.45,1.59,Terni,42.6539486,12.439652829139407
Oranges (1 lb),0.91,€,0.45,1.13,Terni,42.6539486,12.439652829139407
Tomato (1 lb),1.2,€,0.91,1.97,Terni,42.6539486,12.439652829139407
Potato (1 lb),0.87,€,0.32,1.13,Terni,42.6539486,12.439652829139407
Onion (1 lb),0.88,€,0.59,1.36,Terni,42.6539486,12.439652829139407
Lettuce (1 head),0.97,€,0.7,1.2,Terni,42.6539486,12.439652829139407
Water (1.5 liter bottle),0.35,€,0.2,1.5,Terni,42.6539486,12.439652829139407
Bottle of Wine (Mid-Range),6.5,€,1.45,10,Terni,42.6539486,12.439652829139407
Domestic Beer (0.5 liter bottle),1.35,€,1,2.5,Terni,42.6539486,12.439652829139407
Imported Beer (12 oz small bottle),1.7,€,0.9,3.5,Terni,42.6539486,12.439652829139407
Cigarettes 20 Pack (Marlboro),5.6,€,5.5,6,Terni,42.6539486,12.439652829139407
One-way Ticket (Local Transport),1.5,€,1.3,1.5,Terni,42.6539486,12.439652829139407
Monthly Pass (Regular Price),30.0,€,11,50,Terni,42.6539486,12.439652829139407
Taxi Start (Normal Tariff),4.2,€,4.2,7,Terni,42.6539486,12.439652829139407
Taxi 1 mile (Normal Tariff),2.06,€,2.06,2.06,Terni,42.6539486,12.439652829139407
Taxi 1hour Waiting (Normal Tariff),27.7,€,27.7,27.7,Terni,42.6539486,12.439652829139407
Gasoline (1 gallon),7.28,€,6.62,8.3,Terni,42.6539486,12.439652829139407
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),30000.0,€,"30,000.00","30,000.00",Terni,42.6539486,12.439652829139407
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),33000.0,€,"33,000.00","33,000.00",Terni,42.6539486,12.439652829139407
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",166.67,€,140,425,Terni,42.6539486,12.439652829139407
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Terni,42.6539486,12.439652829139407
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",25.67,€,24.5,45,Terni,42.6539486,12.439652829139407
"Fitness Club, Monthly Fee for 1 Adult",56.67,€,40,70,Terni,42.6539486,12.439652829139407
Tennis Court Rent (1 Hour on Weekend),13.67,€,10,19,Terni,42.6539486,12.439652829139407
"Cinema, International Release, 1 Seat",9.7,€,9,12,Terni,42.6539486,12.439652829139407
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",300.0,€,300,850,Terni,42.6539486,12.439652829139407
"International Primary School, Yearly for 1 Child",15400.0,€,"13,200.00","18,000.00",Terni,42.6539486,12.439652829139407
1 Pair of Jeans (Levis 501 Or Similar),59.5,€,19,100,Terni,42.6539486,12.439652829139407
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",38.33,€,30,50,Terni,42.6539486,12.439652829139407
1 Pair of Nike Running Shoes (Mid-Range),85.0,€,50,120,Terni,42.6539486,12.439652829139407
1 Pair of Men Leather Business Shoes,67.19,€,50,81.57,Terni,42.6539486,12.439652829139407
Apartment (1 bedroom) in City Centre,485.75,€,400,543,Terni,42.6539486,12.439652829139407
Apartment (1 bedroom) Outside of Centre,379.5,€,300,450,Terni,42.6539486,12.439652829139407
Apartment (3 bedrooms) in City Centre,762.5,€,600,900,Terni,42.6539486,12.439652829139407
Apartment (3 bedrooms) Outside of Centre,528.0,€,432,700,Terni,42.6539486,12.439652829139407
Price per Square Feet to Buy Apartment in City Centre,125.42,€,111.48,139.35,Terni,42.6539486,12.439652829139407
Price per Square Feet to Buy Apartment Outside of Centre,89.5,€,65.03,111.48,Terni,42.6539486,12.439652829139407
Average Monthly Net Salary (After Tax),1387.5,€,,,Terni,42.6539486,12.439652829139407
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.94,,1.39,4.9,Terni,42.6539486,12.439652829139407
"Meal, Inexpensive Restaurant",15.0,€,12,15,Teramo,42.65811795,13.69787458752063
"Meal for 2 People, Mid-range Restaurant, Three-course",50.0,€,30,50,Teramo,42.65811795,13.69787458752063
McMeal at McDonalds (or Equivalent Combo Meal),8.0,€,8,8,Teramo,42.65811795,13.69787458752063
Domestic Beer (1 pint draught),4.5,€,2,5,Teramo,42.65811795,13.69787458752063
Imported Beer (12 oz small bottle),3.5,€,2.5,4,Teramo,42.65811795,13.69787458752063
Cappuccino (regular),1.5,€,1.2,1.5,Teramo,42.65811795,13.69787458752063
Coke/Pepsi (12 oz small bottle),2.0,€,1.5,2.5,Teramo,42.65811795,13.69787458752063
Water (12 oz small bottle),0.83,€,0.5,1,Teramo,42.65811795,13.69787458752063
"Milk (regular), (1 gallon)",3.97,€,3.79,4.35,Teramo,42.65811795,13.69787458752063
Loaf of Fresh White Bread (1 lb),1.36,€,0.91,1.81,Teramo,42.65811795,13.69787458752063
"Rice (white), (1 lb)",0.79,€,0.68,0.91,Teramo,42.65811795,13.69787458752063
Eggs (regular) (12),2.39,€,2.39,4.8,Teramo,42.65811795,13.69787458752063
Local Cheese (1 lb),6.96,€,4.99,9.07,Teramo,42.65811795,13.69787458752063
Chicken Fillets (1 lb),5.28,€,4.54,5.85,Teramo,42.65811795,13.69787458752063
Beef Round (1 lb) (or Equivalent Back Leg Red Meat),5.44,€,4.08,9.07,Teramo,42.65811795,13.69787458752063
Apples (1 lb),0.64,€,0.59,0.68,Teramo,42.65811795,13.69787458752063
Banana (1 lb),0.78,€,0.54,1.11,Teramo,42.65811795,13.69787458752063
Oranges (1 lb),0.91,€,0.68,1.13,Teramo,42.65811795,13.69787458752063
Tomato (1 lb),0.91,€,0.91,0.91,Teramo,42.65811795,13.69787458752063
Potato (1 lb),0.47,€,0.14,0.82,Teramo,42.65811795,13.69787458752063
Onion (1 lb),0.68,€,0.45,0.91,Teramo,42.65811795,13.69787458752063
Lettuce (1 head),0.75,€,0.5,1,Teramo,42.65811795,13.69787458752063
Water (1.5 liter bottle),0.28,€,0.25,0.3,Teramo,42.65811795,13.69787458752063
Bottle of Wine (Mid-Range),5.0,€,3,5.5,Teramo,42.65811795,13.69787458752063
Domestic Beer (0.5 liter bottle),0.97,€,0.9,1,Teramo,42.65811795,13.69787458752063
Imported Beer (12 oz small bottle),1.33,€,1.33,1.33,Teramo,42.65811795,13.69787458752063
Cigarettes 20 Pack (Marlboro),5.75,€,5.5,6,Teramo,42.65811795,13.69787458752063
One-way Ticket (Local Transport),2.0,€,1.5,2.5,Teramo,42.65811795,13.69787458752063
Monthly Pass (Regular Price),32.6,€,28,50,Teramo,42.65811795,13.69787458752063
Taxi Start (Normal Tariff),11.0,€,7,15,Teramo,42.65811795,13.69787458752063
Taxi 1 mile (Normal Tariff),1.05,€,0.8,1.29,Teramo,42.65811795,13.69787458752063
Taxi 1hour Waiting (Normal Tariff),27.5,€,20,35,Teramo,42.65811795,13.69787458752063
Gasoline (1 gallon),6.62,€,6.62,8.3,Teramo,42.65811795,13.69787458752063
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25000.0,€,"25,000.00","25,000.00",Teramo,42.65811795,13.69787458752063
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),20000.0,€,"15,000.00","32,500.00",Teramo,42.65811795,13.69787458752063
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment",325.0,€,150,500,Teramo,42.65811795,13.69787458752063
Mobile Phone Monthly Plan with Calls and 10GB+ Data,14.99,€,14.99,14.99,Teramo,42.65811795,13.69787458752063
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",27.5,€,25,30,Teramo,42.65811795,13.69787458752063
"Fitness Club, Monthly Fee for 1 Adult",51.67,€,30,60,Teramo,42.65811795,13.69787458752063
